Unnamed: 0,rating,user_id,reviewText,categories,item_id,unixReviewTime,reviewTime,gps,price,dtime,hour,minute,second,sentiment score,sentiment_label,sentiment_numeric
0,4,2623125,Best War Wanton soup in Red Bluff,"['Asian Restaurant', 'Chinese Restaurant']",6494903,1394669496,3/12/2014,"[40.179159, -122.236162]",$$$,3/13/2014 0:11,0,11,36,0.893050698,positive,1
1,5,2623125,"This is a review that is long overdo. I've been enjoying the great pizza at this restaurant for over a year now and it's hands down the best in town. I saw a review on here saying the pizza was greasy, and I'll bet it was for a peperoni pizza. I don't know how you could put so many slices of peperoni on, where you can't even see the cheese, without a little pepperoni grease escaping. These guys at Firehouse make the pizzas that everyone else does in their commercials, you can watch as they pile the toppings a mile high on every pie. And when was the last time you saw someone slicing bell peppers and tomatoes by hand for your pizza. I honestly have a hard time understanding how these guys stay in business, but I'm glad they do. And the five dollar slice and soda lunch is probably the best value in town. Thanks guys, keep it up.","['European Restaurant', 'Italian Restaurant', 'Pizza Restaurant']",328045,1394826388,3/14/2014,"[40.178074, -122.235234]",$$,3/14/2014 19:46,19,46,28,0.311134706,positive,1
2,5,2623125,"Long time favorite Mexican food, always consistent and great tasting.",['Mexican Restaurant'],5192564,1394669713,3/12/2014,"[40.175064, -122.242574]",$$,3/13/2014 0:15,0,15,13,0.944869079,positive,1
3,5,6066497,Great coffee and location! Check out the used book store across the street,"['Espresso Bar', 'Coffee Shop']",2895067,1379187049,9/14/2013,"[38.030536, -121.884024]",$$$,9/14/2013 19:30,19,30,49,0.867263925,positive,1
4,5,6066497,"I've been here dozens of times, and I'll keep coming back. I really like the usuzukari and the Bruce roll","['Sushi Restaurant', 'Asian Restaurant', 'Japanese Restaurant']",4239194,1394848761,3/14/2014,"[37.961078, -121.748886]",$$,3/15/2014 1:59,1,59,21,0.617629894,positive,1
5,3,1897485,"Finally came back to this place after so many years, atmosphere was ok anyways I ordered two shrimp tacos and a lobster taco. My shrimp tacos had about only 2-3 shrimps the rest was soggy bell peppers and a broken up corn tortilla, my lobster taco was a lil better.","['Latin American Restaurant', 'Mexican Restaurant', 'Seafood Restaurant']",9264434,1347079555,9/7/2012,"[33.20043, -117.331493]",$$$,9/8/2012 4:45,4,45,55,-0.035447124,neutral,0
6,5,1897485,I live in sandiego its about an hour drive and every time we go its worth it to the last bite. Yummm. Wish their was one closer.,['Chicken Restaurant'],7102951,1388002613,12/25/2013,"[33.680515, -117.90633]",$$$,12/25/2013 20:16,20,16,53,0.377268037,positive,1
7,2,1897485,"I ordered 4 rolled tacos. when I received them, I got a lot of guacamole just smothered on my tacos. A little bit of yellow cheese, where's the lettuce sourcream and salsa fresca Service was great toobad for the food.","['Mexican Restaurant', 'Latin American Restaurant']",8461225,1324327546,12/19/2011,"[33.131197, -117.260452]",$$$,12/19/2011 20:45,20,45,46,-0.031696773,neutral,0
8,3,7962893,"WELL I HAVE EATEN HERE SEVERAL TIMES AND EVERYTHING IS GREAT, I  TRIED TO HAVE A LARGE PARTY (18 PEOPLE) SO I CALLED A DAY AHEAD TO MAKE A RESERVATION AND THEY SAID THEY DONT TAKE RESERVATION AND I COULD COME 1-2 HOURS BEFORE I WANTED TO DINE AND THEY COULD DO IT THAT WAY.   SERIOUSLY? I WANT TO BRING A 18 PERSON PARTY TO YOUR ESTABLISHMENT AND YOU WANT ME TO WAIT FOR 2 HOURS BEFORE? ILL TAKE MY MONEY SOMEWHERE ELSE...","['American Restaurant', 'Dessert Restaurant']",1806688,1352400948,11/8/2012,"[34.112, -117.535357]",$$,11/8/2012 18:55,18,55,48,-0.215042422,neutral,0
9,5,9872657,The service is good and they are nice. Everything I've tried at Lotus has been great.,"['Vegetarian Restaurant', 'Eclectic Restaurant', 'Cafe']",5833083,1308018773,6/13/2011,"[33.042048, -117.29286]",$$,6/14/2011 2:32,2,32,53,0.704599488,positive,1
