user_id,reviewerName,item_id,hotelName,reviewText,hotel_url,date,title,text,service,location,value,cleanliness,sleep quality,rooms,check in / front desk,"business service (e.g., internet access)",sentiment_score,sentiment_label,rating,implicit_feedback,sentiment_numeric
0,violettaf340,1121769,Hotel Baltic Giulianova Province of Teramo Abruzzo,"Xmas holiday We went here with our kids for Xmas holiday and we really liked it. Large options of food for breakfast and lunch , you can really taste the quality of the food in there. The surrounding area is nice and clean. Good experience. Hardly recommended .",Hotel_Review-g194775-d1121769-Reviews-Hotel_Baltic-Giulianova_Province_of_Teramo_Abruzzo.html,2019-01-01T00:00:00,Xmas holiday,"We went here with our kids for Xmas holiday and we really liked it. Large options of food for breakfast and lunch , you can really taste the quality of the food in there. The surrounding area is nice and clean. Good experience. Hardly recommended .",,,,,,,,,0.341326531,positive,5,1,1
1,Lagaiuzza,1121769,Hotel Baltic Giulianova Province of Teramo Abruzzo,"Baltic, what else? We have spent in this hotel our summer holidays both in summer 2014 and 2015- I was with my husband and my child ( 4 years old at present). I do really recommend this place- Staff si high qualified, Kind and really helpful- Animation staff get You involved, but always with discrection - Miniclub si super and activities offered are interesting and smart- Rooms clean, with AC and balcony- Restaurant offers a great selection of food - always. The beach si extremly closed to the hotel - Miniclub area offers some gazebos to have shade for kids- A lot of bicycles are available for free- I am completely satisfied of this hotel- Go in lime this!",Hotel_Review-g194775-d1121769-Reviews-Hotel_Baltic-Giulianova_Province_of_Teramo_Abruzzo.html,2016-01-01T00:00:00,"Baltic, what else?","We have spent in this hotel our summer holidays both in summer 2014 and 2015- I was with my husband and my child ( 4 years old at present). I do really recommend this place- Staff si high qualified, Kind and really helpful- Animation staff get You involved, but always with discrection - Miniclub si super and activities offered are interesting and smart- Rooms clean, with AC and balcony- Restaurant offers a great selection of food - always. The beach si extremly closed to the hotel - Miniclub area offers some gazebos to have shade for kids- A lot of bicycles are available for free- I am completely satisfied of this hotel- Go in lime this!",,,,,,,,,0.27218254,positive,5,1,1
2,ashleyn763,1121769,Hotel Baltic Giulianova Province of Teramo Abruzzo,"Excellent in every way! I visited Hotel Baltic with my husband for some bike riding in the area, thinking it would just be another hotel. I was so wrong. We don't have children, but were so amazed at the attention to detail and kindness we experienced from every member of the staff. It was truly amazing.",Hotel_Review-g194775-d1121769-Reviews-Hotel_Baltic-Giulianova_Province_of_Teramo_Abruzzo.html,2014-10-01T00:00:00,Excellent in every way!,"I visited Hotel Baltic with my husband for some bike riding in the area, thinking it would just be another hotel. I was so wrong. We don't have children, but were so amazed at the attention to detail and kindness we experienced from every member of the staff. It was truly amazing.",5,5,5,,,,,,0.475,positive,5,1,1
3,DavideMauro,1121769,Hotel Baltic Giulianova Province of Teramo Abruzzo,"The house of your family's holiday I've travelled quite a numbers of hotels but this is the best place you can achieve with an excellent ratio quality/money. The equipe is really excellent. The restaurant's staff and the chef are perfect. Menu is always varying. Bar service is really fantastic. On the beach rather than in the hotel, anything is perfect and our holiday went like a dream. Although prices could seems quite high, you must consider that you could even forget your wollet at home. You'll never be required to spend any money. Kids are always happy and miniclub staff is really efficient. My daughter crying for our leaving could explain better what I'm writing.",Hotel_Review-g194775-d1121769-Reviews-Hotel_Baltic-Giulianova_Province_of_Teramo_Abruzzo.html,2014-08-01T00:00:00,The house of your family's holiday,"I've travelled quite a numbers of hotels but this is the best place you can achieve with an excellent ratio quality/money. The equipe is really excellent. The restaurant's staff and the chef are perfect. Menu is always varying. Bar service is really fantastic. On the beach rather than in the hotel, anything is perfect and our holiday went like a dream. Although prices could seems quite high, you must consider that you could even forget your wollet at home. You'll never be required to spend any money. Kids are always happy and miniclub staff is really efficient. My daughter crying for our leaving could explain better what I'm writing.",5,,,5,5,,,,0.623636364,positive,5,1,1
4,Alemma11,1121769,Hotel Baltic Giulianova Province of Teramo Abruzzo,"A paradise for children (and parents, of course) We decided for this family holiday destination after we saw its ranking in the family hotel 2013 reviews. It has kept its promises. Plus: - all staff is extremely kind and willing to help you at any time - great attention to the confort of kids - private playground in front of the hotel in a pinery providing shade all day long - great breakfast - beach umbrella and deck chairs assigned to guests on the beach right in front of the hotel - great kids menu also during weaning - lots of activities for kids (and parents as well, if you wish so) - free baby club for 1-3 years old - swimming pool with children's corner (not big but works fine) - it feels like being home - two gazebo on the beach used for the mini-clubs - massages available all day long ( not spa) - beach towels provided Minus (because perfection is impossible) - restaurant tends to be a bit slow - beach gazebo for the bigger kids a bit too small in the midday sun Just a couple of notes: - if you don't mind the first floor you can avoid the elevators (at peak times there's some queing up to do) - booking is a bit messy, better to double check to make sure everything's fine - if your bed is unconfortable you can try and get it changed, if we had known it before we would have done so Overall a great time! It would deserve 4 stars from a service perspective.",Hotel_Review-g194775-d1121769-Reviews-Hotel_Baltic-Giulianova_Province_of_Teramo_Abruzzo.html,2013-08-01T00:00:00,"A paradise for children (and parents, of course)","We decided for this family holiday destination after we saw its ranking in the family hotel 2013 reviews. It has kept its promises. Plus: - all staff is extremely kind and willing to help you at any time - great attention to the confort of kids - private playground in front of the hotel in a pinery providing shade all day long - great breakfast - beach umbrella and deck chairs assigned to guests on the beach right in front of the hotel - great kids menu also during weaning - lots of activities for kids (and parents as well, if you wish so) - free baby club for 1-3 years old - swimming pool with children's corner (not big but works fine) - it feels like being home - two gazebo on the beach used for the mini-clubs - massages available all day long ( not spa) - beach towels provided Minus (because perfection is impossible) - restaurant tends to be a bit slow - beach gazebo for the bigger kids a bit too small in the midday sun Just a couple of notes: - if you don't mind the first floor you can avoid the elevators (at peak times there's some queing up to do) - booking is a bit messy, better to double check to make sure everything's fine - if your bed is unconfortable you can try and get it changed, if we had known it before we would have done so Overall a great time! It would deserve 4 stars from a service perspective.",5,4,4,3,3,4,,,0.218606702,positive,4,1,1
5,ladispoli,1121769,Hotel Baltic Giulianova Province of Teramo Abruzzo,"Great customer service Great customer service and good restaurant service is what made this experience so wonderful for my family. Giulianuova is a pretty simple , not so ""wow"" town, with not very clean beaches as I was expecting when booking my reservation. What saved my vacation was staying at Baltic. Baltic is a very simple but functional hotel, but what makes it so special are the people that work there. It seems that as a part of their job training they had take some kind of class on humanity and spirituality, because the way they treat every single person with respect and smile is just amazing. Good job to the manager Massimo (who knows how to hire great people)!",Hotel_Review-g194775-d1121769-Reviews-Hotel_Baltic-Giulianova_Province_of_Teramo_Abruzzo.html,2010-02-01T00:00:00,Great customer service,"Great customer service and good restaurant service is what made this experience so wonderful for my family. Giulianuova is a pretty simple , not so ""wow"" town, with not very clean beaches as I was expecting when booking my reservation. What saved my vacation was staying at Baltic. Baltic is a very simple but functional hotel, but what makes it so special are the people that work there. It seems that as a part of their job training they had take some kind of class on humanity and spirituality, because the way they treat every single person with respect and smile is just amazing. Good job to the manager Massimo (who knows how to hire great people)!",5,3,4,3,4,3,,,0.43716804,positive,4,1,1
6,LiliT0URS,1735469,Pousada Rumo dos Ventos Paraty State of Rio de Janeiro,"Honest place to spend a couple of nights This pousada is not too close to the downtown area but you can stroll along the canal to get there. It is about 2.5km far. Nice breakfast in the morning and nice staff. The only problem was that there are no air conditioning in the rooms and it was really hot in December. Overall , we would go back there.",Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,2019-02-01T00:00:00,Honest place to spend a couple of nights,"This pousada is not too close to the downtown area but you can stroll along the canal to get there. It is about 2.5km far. Nice breakfast in the morning and nice staff. The only problem was that there are no air conditioning in the rooms and it was really hot in December. Overall , we would go back there.",3,,,,2,2,,,0.26875,positive,3,0,1
7,Amandainldn,1735469,Pousada Rumo dos Ventos Paraty State of Rio de Janeiro,"Quiet and Quaint Great hotel surrounded by nature! It was really quiet and quaint. Not much English is spoken by the staff (thankful for Google translate)! Breakfast was good selection overlooking the garden. The room was comfortable, clean and spacious. With the hotel being surrounded by nature there were a lot of mosquitoes :( It was about a 15-20 minute walk to the centre of town. It was a pleasant and picturesque walk along the water - although not well lit in the evening, so we caught a taxi back in the late evening.",Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,2018-01-01T00:00:00,Quiet and Quaint,"Great hotel surrounded by nature! It was really quiet and quaint. Not much English is spoken by the staff (thankful for Google translate)! Breakfast was good selection overlooking the garden. The room was comfortable, clean and spacious. With the hotel being surrounded by nature there were a lot of mosquitoes :( It was about a 15-20 minute walk to the centre of town. It was a pleasant and picturesque walk along the water - although not well lit in the evening, so we caught a taxi back in the late evening.",4,,4,,4,,,,0.195454545,positive,4,1,1
8,TwoMonkeysTravel,1735469,Pousada Rumo dos Ventos Paraty State of Rio de Janeiro,"Natural Luxury The property is surrounded by trees, which are teeming with birds and inquisitive miniature monkeys who venture onto the balconies looking for treats of papaya from the staff and guests. The rooms are large and comfortable with high ceilings, cable TV, and hot showers. Breakfast was included, with an amazing selection of fruits, bread, cereals and hot food like eggs and local sausage casserole.",Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,2017-03-01T00:00:00,Natural Luxury,"The property is surrounded by trees, which are teeming with birds and inquisitive miniature monkeys who venture onto the balconies looking for treats of papaya from the staff and guests. The rooms are large and comfortable with high ceilings, cable TV, and hot showers. Breakfast was included, with an amazing selection of fruits, bread, cereals and hot food like eggs and local sausage casserole.",5,,5,,5,,,,0.246785714,positive,5,1,1
9,BiancaB3358,1735469,Pousada Rumo dos Ventos Paraty State of Rio de Janeiro,"Quaint Pousada We really enjoyed our stay here, it was peaceful and quiet. There was plenty of room to relax in and hangout at the pool. It's around 20mins walk from the main Centre. They also serve a delicious breakfast. Just be wary of the mosquitos at night in the rooms, I got bit everywhere!",Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,2016-12-01T00:00:00,Quaint Pousada,"We really enjoyed our stay here, it was peaceful and quiet. There was plenty of room to relax in and hangout at the pool. It's around 20mins walk from the main Centre. They also serve a delicious breakfast. Just be wary of the mosquitos at night in the rooms, I got bit everywhere!",,,,,,,,,0.215277778,positive,4,1,1
